id,SFR__Msol_per_yr,SFR_err,Mstar__Msol,Mstar_err,Lbolo__Lsol,Lbolo_err,Lold_unatt__Lsol,Lold_unatt_err,Lyoung_unatt__Lsol,Lyoung_unatt_err,Lold_abs__Lsol,Lold_abs_err,Lyoung_abs__Lsol,Lyoung_abs_err,Afuv,Afuv_err,Av_b90,Av_b90_err,Mdust__Msol,Mdust_err,Ldust__Lsol,Ldust_err,Umin,Umin_err,Tdust__K,Tdust_err,qhac,qhac_err,gamma,gamma_err,red_chi2,t
NGC4303A,0.1749,0.01236,464100000,88580000,2083000000,104200000,1396000000,69800000,687300000,48590000,106800000,0,223900000,0,0.36,0.052,0.074,0.022,1212000,344800,330700000,41000000,1.391,0.513,19.37,1.233,0.032,0.021,0.007,0.008,0.365,6.3
NGC4305,0.01728,0.01308,31270000000,5216000000,19680000000,984200000,19620000000,980800000,67920000,51410000,147500000,0,6912000,0,0.072,0.052,0.015,0.01,1696000,2191000,154500000,101000000,6.681,16.15,25.4,10.61,0.18,0.114,0.038,0.094,0.703,1.2
NGC4306,0.001499,0.001191,2142000000,335100000,1620000000,81020000,1614000000,80720000,5892000,4679000,6082000,0,334500,0,0.034,0.041,0.007,0.008,33970,85470,6417000,7437000,13.84,22.45,28.81,8.074,0.192,0.118,0.073,0.134,1.012,-2
NGC4307,0.09677,0.07605,28840000000,4772000000,19340000000,967100000,18960000000,948100000,380300000,298900000,3762000000,0,331100000,0,2.017,0.414,0.457,0.03,9984000,1139000,4093000000,208300000,1.938,0.215,20.52,0.394,0.078,0.02,0.003,0.002,0.276,3.2
NGC4309,0.03959,0.02763,10360000000,1409000000,9388000000,469400000,9233000000,461600000,155600000,108600000,1844000000,0,136100000,0,2.061,0.278,0.412,0.037,3031000,676700,1980000000,195900000,3.191,0.917,22.36,1.11,0.033,0.019,0.007,0.004,0.783,-0.7
NGC4312,0.01709,0.01002,2391000000,370000000,3701000000,185100000,3634000000,181700000,67170000,39390000,1032000000,0,58150000,0,2.702,0.206,0.554,0.028,921600,152000,1091000000,56780000,5.623,0.895,24.66,0.678,0.104,0.017,0.002,0.002,0.521,2.1
NGC4313,0.01552,0.01365,9030000000,1480000000,6286000000,314300000,6225000000,311300000,60980000,53660000,931600000,0,50530000,0,1.505,0.353,0.326,0.039,2448000,419800,982200000,102900000,1.926,0.4,20.49,0.734,0.098,0.036,0.002,0.002,0.477,2.1
NGC4316,0.5227,0.1994,18330000000,4537000000,17170000000,858500000,15110000000,810600000,2054000000,783700000,4719000000,0,1831000000,0,2.764,0.305,0.68,0.104,11370000,2333000,6550000000,488800000,2.858,0.743,21.94,0.985,0.084,0.02,0.002,0.002,0.502,5.5
NGC4321,6.004,1.159,49480000000,10990000000,116600000000,5828000000,92970000000,4648000000,23590000000,4556000000,24660000000,0,20000000000,0,1.976,0.184,0.392,0.064,37040000,4046000,44660000000,3649000000,5.537,0.972,24.59,0.745,0.094,0.019,0.005,0.004,1.195,4
NGC4322,0.0004296,0.0002205,590800000,79980000,453000000,22650000,451300000,22570000,1688000,866700,2153000,0,121100,0,0.041,0.054,0.009,0.011,6836,20610,2274000,2894000,16.28,23.91,29.63,7.514,0.201,0.118,0.086,0.145,2.087,-2.4
NGC4324,0.1072,0.02798,20080000000,2067000000,11040000000,551800000,10620000000,530800000,421100000,110000000,575800000,0,245600000,0,0.745,0.166,0.112,0.019,3311000,514500,821400000,70820000,1.171,0.234,18.81,0.648,0.08,0.042,0.004,0.004,0.308,-0.8
NGC4328,0.004569,0.003642,2091000000,619300000,1606000000,101000000,1588000000,106600000,17960000,14310000,108500000,0,9930000,0,0.562,0.34,0.127,0.073,911600,1132000,118500000,65740000,5.47,14.32,24.54,11.1,0.21,0.111,0.055,0.112,1.413,-3.1
NGC4330,0.2421,0.05099,5786000000,1249000000,6797000000,339900000,5846000000,292300000,951500000,200400000,841900000,0,685800000,0,1.177,0.195,0.227,0.056,5544000,899200,1528000000,214200000,1.411,0.404,19.42,0.961,0.02,0.001,0.003,0.003,6.682,6.1
NGC4339,0.02857,0.004115,28290000000,2516000000,10340000000,516900000,10230000000,511300000,112300000,16170000,115700000,0,15780000,0,0.128,0.097,0.025,0.018,60940,123400,131400000,95020000,24.13,26,31.71,5.901,0.176,0.115,0.11,0.159,0.673,-4.6
NGC4340,0.02592,0.002485,26650000000,1598000000,9567000000,478400000,9465000000,473300000,101900000,9765000,11610000,0,2447000,0,0.019,0.026,0.003,0.004,45290,159100,14050000,19680000,15.33,23.17,29.32,7.655,0.178,0.119,0.075,0.136,1.356,-1.2
NGC4341,0.001024,0.000652,1553000000,155100000,1216000000,60800000,1212000000,60600000,4023000,2562000,40130000,0,1602000,0,0.293,0.204,0.065,0.038,391800,363100,41730000,24600000,2.628,8.764,21.62,12.45,0.167,0.107,0.023,0.063,0.612,-2
NGC4342,0.00358,0.002057,15310000000,1315000000,6010000000,300500000,5996000000,299800000,14070000,8083000,21950000,0,906400,0,0.04,0.036,0.008,0.007,16820,47660,22850000,19120000,23,26.78,31.45,6.324,0.236,0.115,0.108,0.16,1.28,-3.2
NGC4343,0.1889,0.08271,17660000000,2901000000,13490000000,674400000,12750000000,637300000,742300000,325100000,2742000000,0,631900000,0,1.987,0.277,0.468,0.054,7631000,752100,3374000000,219100000,2.08,0.361,20.77,0.623,0.094,0.017,0.002,0.002,0.364,3
NGC4350,0.04419,0.00324,45180000000,2488000000,15840000000,792000000,15670000000,783300000,173700000,12740000,263100000,0,31560000,0,0.177,0.061,0.037,0.008,453500,356600,294700000,56710000,5.351,7.222,24.45,5.698,0.114,0.067,0.015,0.03,0.626,-1.8
NGC4351,0.1078,0.01677,1446000000,345500000,2612000000,130600000,2189000000,109400000,423500000,65920000,209500000,0,254400000,0,0.776,0.09,0.129,0.031,965400,193000,463900000,26010000,2.425,0.677,21.33,1.028,0.059,0.008,0.002,0.002,0.896,2.8
NGC4352,0.001178,0.0009102,5963000000,298200000,4015000000,200700000,4010000000,200500000,4628000,3577000,1986000,0,52600,0,0.005,0.015,0.001,0.003,10050,56760,2039000,5676000,14.55,23,29.06,7.934,0.19,0.122,0.088,0.146,1.989,-2
NGC4353,0.112,0.02068,4678000000,696100000,5494000000,274700000,5054000000,252700000,440100000,81270000,425300000,0,240900000,0,0.666,0.105,0.131,0.028,2491000,761400,666200000,70540000,1.351,0.556,19.28,1.37,0.149,0.037,0.001,0.001,1.084,9.8
NGC4355,5.363,0.2681,1324000000,69540000,37540000000,1877000000,16460000000,823200000,21080000000,1054000000,12760000000,0,19300000000,0,6.667,0.333,1.415,0.071,4785000,439300,32060000000,1603000000,28.84,3.71,32.71,0.727,0.02,0.001,0.017,0.004,6.757,1.1
NGC4356,0.01238,0.007338,4862000000,920100000,4496000000,224800000,4447000000,222400000,48650000,28840000,715000000,0,41900000,0,1.535,0.236,0.312,0.04,1777000,415000,756900000,86830000,1.905,0.606,20.46,1.124,0.088,0.036,0.011,0.011,1.089,5.7
NGC4359,0.2425,0.03733,3047000000,776100000,5326000000,266300000,4373000000,218700000,952900000,146700000,492100000,0,575800000,0,0.826,0.094,0.15,0.046,6011000,1096000,1068000000,96920000,0.884,0.218,17.92,0.763,0.064,0.015,0.002,0.002,0.467,5.1
NGC4365,0.125,0.03962,246500000000,31900000000,115600000000,5782000000,115100000000,5757000000,491400000,155700000,528000000,0,38130000,0,0.059,0.058,0.01,0.01,620300,1793000,566100000,540100000,21,26.39,30.96,6.72,0.245,0.116,0.123,0.168,5.411,-4.8
NGC4370,0.07007,0.06219,34540000000,6967000000,20320000000,1016000000,20050000000,1002000000,275400000,244400000,3688000000,0,232900000,0,1.805,0.467,0.434,0.035,5287000,683200,3921000000,208000000,3.714,0.702,22.96,0.749,0.056,0.026,0.001,0.001,0.436,0.7
NGC4371,0.004323,0.003137,51480000000,4228000000,22940000000,1147000000,22920000000,1146000000,16990000,12330000,139200000,0,1739000,0,0.06,0.031,0.013,0.005,710800,1116000,141000000,55640000,8.395,17.87,26.43,9.714,0.268,0.105,0.126,0.162,0.542,-1.3
NGC4374,0.0626,0.02513,178500000000,8927000000,119800000000,5988000000,119500000000,5976000000,246000000,98770000,2196000000,0,58700000,0,0.183,0.081,0.039,0.012,31270000,25320000,2254000000,671400000,1.718,7.81,20.09,15.77,0.312,0.092,0.092,0.118,6.137,-4.4
NGC4376,0.3456,0.03195,1737000000,488700000,4914000000,245700000,3556000000,177800000,1358000000,125600000,452000000,0,777600000,0,0.762,0.075,0.154,0.031,1726000,194900,1230000000,79800000,3.507,0.421,22.73,0.471,0.044,0.023,0.002,0.002,0.506,9.8
NGC4377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.6
NGC4378,1.365,0.1763,212900000000,20510000000,102100000000,5105000000,96730000000,4836000000,5363000000,692900000,5797000000,0,2673000000,0,0.658,0.15,0.124,0.02,48640000,9456000,8470000000,793600000,0.747,0.2,17.4,0.804,0.101,0.025,0.011,0.008,0.989,1
NGC4379,0.002971,0.001611,14950000000,2542000000,7298000000,364900000,7286000000,364300000,11680000,6330000,77110000,0,1944000,0,0.111,0.071,0.023,0.011,41460,100800,79060000,36490000,32.34,27.59,33.36,4.914,0.145,0.1,0.041,0.099,0.406,-2.7
NGC4380,0.2354,0.1256,23210000000,4191000000,17860000000,893000000,16940000000,846800000,925100000,493500000,1995000000,0,634800000,0,0.965,0.231,0.221,0.049,9873000,795200,2630000000,131500000,1.219,0.136,18.94,0.364,0.105,0.014,0.003,0.002,0.632,2.4
NGC4383,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8
NGC4385,2.745,0.2667,9130000000,2511000000,31680000000,1584000000,20900000000,1045000000,10790000000,1048000000,6613000000,0,9422000000,0,2.103,0.135,0.435,0.06,7136000,3275000,16030000000,801700000,7.796,5.347,26.09,3.091,0.02,0.001,0.067,0.018,1.428,-0.1
NGC4387,0.001263,0.0009445,13290000000,1524000000,6418000000,320900000,6413000000,320700000,4964000,3712000,20800000,0,303400,0,0.033,0.032,0.007,0.006,25820,69400,21110000,19280000,19.67,25.53,30.61,6.86,0.185,0.117,0.108,0.158,0.304,-4.8
NGC4388,1.372,0.3083,21310000000,3627000000,32130000000,1606000000,26740000000,1337000000,5392000000,1212000000,8500000000,0,4983000000,0,2.557,0.177,0.601,0.065,6222000,517400,13480000000,674200000,5.927,0.421,24.89,0.306,0.037,0.02,0.063,0.003,0.756,2.8
NGC4390,0.6245,0.05782,3592000000,469400000,9842000000,492100000,7388000000,369400000,2454000000,227200000,1013000000,0,1463000000,0,0.852,0.068,0.161,0.045,5857000,449800,2476000000,123800000,1.992,0.116,20.61,0.207,0.061,0.011,0.003,0.002,0.589,5
NGC4396,0.2763,0.04331,2257000000,572600000,5203000000,260100000,4117000000,207600000,1086000000,170200000,664600000,0,612100000,0,0.856,0.087,0.206,0.051,6763000,930500,1277000000,74490000,0.846,0.176,17.78,0.638,0.06,0.004,0.009,0.004,0.816,6.8
NGC4402,0.383,0.1887,6076000000,1970000000,10150000000,507600000,8647000000,784100000,1505000000,741800000,3527000000,0,1398000000,0,3.354,0.39,0.841,0.136,6459000,322900,4925000000,246300000,3.499,0.175,22.72,0.196,0.1,0.005,0.003,0.001,0.597,3.2
NGC4406,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-4.8
NGC4409,0.5478,0.04844,2600000000,726800000,6824000000,341200000,4670000000,233500000,2153000000,190400000,977700000,0,1553000000,0,1.325,0.094,0.244,0.065,3209000,276300,2531000000,126500000,3.637,0.578,22.87,0.628,0.1,0.005,0.003,0.002,0.564,4.7
