id,SFR__Msol_per_yr,SFR_err,Mstar__Msol,Mstar_err,Lbolo__Lsol,Lbolo_err,Lold_unatt__Lsol,Lold_unatt_err,Lyoung_unatt__Lsol,Lyoung_unatt_err,Lold_abs__Lsol,Lold_abs_err,Lyoung_abs__Lsol,Lyoung_abs_err,Afuv,Afuv_err,Av_b90,Av_b90_err,Mdust__Msol,Mdust_err,Ldust__Lsol,Ldust_err,Umin,Umin_err,Tdust__K,Tdust_err,qhac,qhac_err,gamma,gamma_err,red_chi2,t
ESO097-013,21.05,10.07,19690000000,10070000000,163700000000,58460000000,80990000000,19120000000,82730000000,39560000000,3486000000,0,9805000000,0,0.244,0.386,0.052,0.078,6896000,1484000,13290000000,1048000000,5.325,1.479,24.43,1.172,0.023,0.011,0.076,0.035,1.305,3.3
ESO116-012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.8
ESO149-001,0.3647,0.04528,3841000000,901400000,9581000000,479000000,8147000000,454100000,1433000000,177900000,384600000,0,449700000,0,0.308,0.052,0.054,0.014,1432000,401000,834300000,104200000,3.15,1.045,22.31,1.278,0.021,0.005,0.002,0.002,1.446,8
ESO149-013,0.006694,0.01815,315400000,156500000,247100000,119900000,220800000,61990000,26310000,71320000,3633000,0,1289000,0,0.222,0.577,0.053,0.154,29770,82060,4922000,5912000,13.95,22.61,28.85,8.079,0.195,0.119,0.08,0.14,0.258,9.9
ESO157-047,0.04214,0.01084,458700000,189200000,812900000,40640000,647300000,73970000,165600000,42610000,32300000,0,45650000,0,0.295,0.11,0.059,0.027,120300,204300,77940000,26220000,16.31,20.09,29.64,6.304,0.036,0.039,0.004,0.022,0.539,0
ESO157-049,0.5265,0.1026,4514000000,1480000000,7738000000,386900000,5669000000,410800000,2069000000,403400000,2690000000,0,1951000000,0,3.485,0.187,1.041,0.11,5219000,4144000,4641000000,348300000,6.154,4.05,25.05,2.847,0.062,0.01,0.005,0.003,0.372,5.3
ESO209-009,0.4673,0.6426,13610000000,5210000000,17930000000,3363000000,16090000000,1645000000,1836000000,2526000000,8422000000,0,1538000000,0,5.334,2.114,1.619,0.628,14520000,2247000,9960000000,514000000,3.296,0.514,22.49,0.605,0.094,0.016,0.001,0.001,0.369,6.1
ESO240-004,0.04661,0.008517,258800000,117800000,604100000,53630000,420900000,79990000,183200000,33470000,18620000,0,39970000,0,0.227,0.109,0.047,0.027,921300,741900,58580000,27420000,2.175,8.945,20.93,14.86,0.124,0.094,0.028,0.07,0.123,6.7
ESO289-020,0.01614,0.002771,53690000,39180000,164600000,30190000,101200000,31420000,63450000,10890000,7269000,0,18520000,0,0.314,0.187,0.071,0.05,168000,191100,25790000,16500000,5.239,12.58,24.36,10.1,0.11,0.096,0.016,0.055,0.503,4.6
ESO351-030,2.672E-09,4.26E-09,521.2,332.3,302.1,92.21,291.6,98.4,10.5,16.74,58.83,0,8.906,0,2.371,1.918,0.615,0.539,0.2681,0.6737,67.74,39.49,17.14,23.74,29.89,7.151,0.226,0.11,0.052,0.114,0.637,-4.8
ESO358-006,0.01743,0.003154,343700000,166000000,364300000,54520000,295700000,62210000,68520000,12400000,13420000,0,19790000,0,0.309,0.156,0.064,0.039,56030,126600,33210000,17350000,18.65,24.87,30.33,6.986,0.244,0.109,0.136,0.171,23.52,-3.8
ESO358-015,0.01965,0.004291,244600000,90480000,383200000,24010000,306000000,38480000,77250000,16870000,4614000,0,7532000,0,0.09,0.074,0.018,0.016,43990,92060,12150000,9986000,14,21.84,28.87,7.778,0.183,0.117,0.058,0.12,0.517,8.7
ESO358-016,0.02165,0.006792,270900000,131000000,420300000,73820000,335200000,81140000,85110000,26690000,40240000,0,48980000,0,0.776,0.274,0.164,0.075,769900,737100,89220000,37180000,3.07,9.182,22.21,11.48,0.127,0.088,0.019,0.053,0.198,7.1
ESO358-019,0.007094,0.009881,230000000,130600000,266700000,34020000,238800000,56870000,27880000,38840000,42710000,0,23780000,0,1.458,1.055,0.349,0.271,106500,189200,66480000,56170000,15.04,23.34,29.23,7.833,0.22,0.114,0.161,0.181,0.825,-3
ESO358-042,0.0003259,0.0003658,1007000000,244100000,465900000,23290000,464600000,23230000,1281000,1438000,3371000,0,149100,0,0.073,0.105,0.016,0.022,12400,36210,3520000,4670000,16.04,23.8,29.55,7.573,0.195,0.119,0.079,0.14,2.135,-2.2
ESO358-043,0.005388,0.004664,2220000000,494300000,1305000000,65240000,1284000000,64180000,21180000,18330000,70980000,0,10320000,0,0.542,0.254,0.112,0.045,1292000,826100,81310000,31010000,0.664,2.417,17.05,10.72,0.07,0.059,0.006,0.017,0.482,-3
ESO358-050,0.009717,0.005013,5512000000,828600000,3822000000,191100000,3784000000,189200000,38190000,19700000,32240000,0,4143000,0,0.075,0.055,0.016,0.011,303600,441800,36380000,25120000,8.596,17.99,26.54,9.589,0.135,0.107,0.037,0.094,0.939,-2.1
ESO358-051,0.07725,0.01292,654100000,240700000,1374000000,68700000,1070000000,99070000,303600000,50770000,172900000,0,211300000,0,1.075,0.115,0.217,0.044,459200,90040,384200000,27140000,4.103,1.15,23.35,1.131,0.07,0.018,0.004,0.003,0.288,0.3
ESO358-054,0.1049,0.01063,688700000,234000000,1450000000,72500000,1038000000,87900000,412300000,41780000,67890000,0,131500000,0,0.355,0.063,0.073,0.024,1143000,511000,199400000,33310000,1.011,0.487,18.34,1.525,0.028,0.017,0.004,0.005,0.612,7.9
ESO358-056,0.007193,0.005698,818300000,241300000,641700000,34570000,613400000,45170000,28270000,22390000,38210000,0,12380000,0,0.498,0.407,0.109,0.091,29710,58940,50590000,40020000,24.54,24.6,31.81,5.507,0.122,0.11,0.032,0.092,1.008,-2.2
ESO358-059,0.002991,0.002696,4480000000,856400000,2297000000,114900000,2285000000,114300000,11750000,10590000,9251000,0,757100,0,0.044,0.054,0.008,0.01,34370,90160,10010000,11850000,15.22,22.98,29.29,7.637,0.181,0.118,0.068,0.13,0.411,-3.3
ESO358-060,0.02868,0.002117,58680000,41330000,256300000,28390000,143600000,35040000,112700000,8318000,2091000,0,6663000,0,0.056,0.051,0.013,0.013,39330,91610,8755000,8055000,14.54,22.84,29.06,7.884,0.199,0.117,0.072,0.133,0.563,9.8
ESO358-063,0.5319,0.1812,7674000000,2524000000,11660000000,630800000,9567000000,949400000,2090000000,712200000,3187000000,0,1864000000,0,2.541,0.335,0.619,0.095,7906000,1277000,5051000000,449900000,3.006,0.709,22.13,0.901,0.11,0.02,0.003,0.002,0.494,6.9
ESO358-066,0.00196,0.002192,745000000,241000000,435700000,29420000,428000000,29870000,7703000,8614000,13920000,0,2202000,0,0.297,0.364,0.066,0.083,46980,107500,16120000,17970000,15.07,22.79,29.24,7.64,0.195,0.118,0.074,0.135,0.104,-3.8
ESO359-002,0.0207,0.01618,1405000000,555600000,1523000000,185000000,1442000000,228700000,81360000,63590000,38850000,0,17440000,0,0.191,0.227,0.041,0.051,88220,216400,56280000,67370000,18.28,24.84,30.23,7.093,0.202,0.118,0.108,0.159,1.595,-3.4
ESO373-008,1.009,1.058,2771000000,1461000000,9535000000,6331000000,5570000000,2208000000,3965000000,4158000000,688900000,0,726500000,0,1.432,1.807,0.35,0.464,5188000,628100,1415000000,121500000,1.32,0.31,19.2,0.779,0.062,0.023,0.003,0.003,0.232,6.1
ESO377-039,0.1042,0.04228,2768000000,1084000000,3794000000,264800000,3385000000,400100000,409500000,166200000,128000000,0,104900000,0,0.248,0.135,0.051,0.031,3148000,2491000,232900000,129900000,1.872,7.428,20.39,13.98,0.131,0.096,0.017,0.051,0.223,3.3
ESO405-014,0.06594,0.01098,508300000,213400000,1030000000,93930000,770500000,124200000,259200000,43160000,14210000,0,28430000,0,0.101,0.092,0.02,0.021,282500,870700,42640000,41240000,14.47,23.02,29.03,7.98,0.187,0.118,0.081,0.141,2.32,6.1
ESO406-031,0.02315,0.01076,3097000000,799900000,1968000000,98410000,1877000000,105600000,90980000,42290000,162300000,0,49760000,0,0.76,0.231,0.167,0.049,1610000,1082000,212100000,52130000,0.907,1.359,17.99,4.659,0.179,0.075,0.008,0.015,0.254,2.2
ESO407-002,0.09423,0.05653,3539000000,1356000000,4511000000,225600000,4141000000,384300000,370400000,222200000,870600000,0,293500000,0,1.577,0.303,0.361,0.062,1728000,365200,1164000000,89010000,3.146,0.703,22.31,0.861,0.122,0.026,0.003,0.003,0.27,-0.5
ESO407-018,0.001275,0.0003993,24980000,6803000,47850000,2655000,42840000,4164000,5012000,1569000,300000,0,276500,0,0.044,0.035,0.009,0.008,1516,3468,576500,455600,15.64,22.9,29.42,7.441,0.194,0.116,0.057,0.119,0.745,9.8
ESO410-005,0.0001303,0.0001614,2118000,692600,5238000,838100,4727000,1140000,512000,634100,386800,0,330700,0,0.559,0.537,0.111,0.102,981.5,1804,717400,781400,15.93,22.15,29.52,7.087,0.196,0.114,0.06,0.122,1.942,0.4
ESO410-012,0.02607,0.00316,139100000,46510000,327300000,16360000,224800000,19850000,102500000,12420000,3893000,0,9369000,0,0.085,0.081,0.018,0.018,82490,254500,13260000,13090000,14.9,23.32,29.18,7.888,0.164,0.117,0.086,0.144,0.5,4.7
ESO410-018,0.1699,0.0128,618700000,211000000,1868000000,93420000,1201000000,110500000,667700000,50320000,68060000,0,164000000,0,0.261,0.052,0.056,0.02,2014000,1116000,232100000,43520000,0.642,0.414,16.95,1.887,0.094,0.05,0.014,0.016,1.057,8.9
ESO411-013,0.03485,0.01595,812900000,289400000,1327000000,95610000,1190000000,148900000,137000000,62690000,30560000,0,24820000,0,0.162,0.098,0.033,0.021,640300,722900,55380000,33040000,5.549,14.99,24.6,11.48,0.143,0.105,0.052,0.107,6.077,9
ESO411-016,0.08111,0.01173,556400000,238100000,1068000000,92500000,749700000,109300000,318800000,46100000,41130000,0,85960000,0,0.286,0.136,0.061,0.036,599000,745800,127100000,63110000,6.317,12.11,25.16,8.329,0.074,0.073,0.006,0.026,1.06,1.8
ESO411-026,0.02386,0.004787,211000000,92650000,438400000,55650000,344700000,66360000,93760000,18810000,6009000,0,10470000,0,0.099,0.113,0.02,0.025,134700,276700,16480000,20170000,11.15,20.34,27.76,8.74,0.154,0.117,0.053,0.116,1.25,9
ESO411-027,0.0365,0.006328,141900000,107000000,400500000,75730000,257000000,89800000,143500000,24870000,10400000,0,26480000,0,0.185,0.15,0.041,0.037,266100,458400,36880000,31330000,10.57,20.12,27.5,9.04,0.187,0.116,0.073,0.133,0.25,5.7
ESO428-014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.8
ESO434-040,0.1197,0.2245,74280000000,25370000000,35840000000,2074000000,35370000000,1814000000,470500000,882200000,19600000000,0,438500000,0,6.268,1.478,2.244,0.526,194500,20220,20040000000,1266000000,79.31,4.494,38.95,0.381,0.058,0.015,0.5,0.025,3.065,-1.3
ESO471-006,0.01195,0.0007406,39510000,16880000,128400000,10760000,81450000,13360000,46980000,2911000,75540,0,229800,0,0.004,0.014,0.001,0.003,2399,13220,305300,989900,13.8,22.43,28.8,8.083,0.202,0.119,0.083,0.144,0.979,8.6
ESO491-020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
ESO491-021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.1
ESO493-016,12.04,4.143,9100000000,4466000000,90800000000,24220000000,43490000000,8084000000,47310000000,16280000000,7603000000,0,20530000000,0,0.853,0.852,0.2,0.193,20860000,1812000,28130000000,1407000000,6.036,0.611,24.96,0.436,0.059,0.01,0.008,0.003,0.352,4
ESO495-021,1.153,0.2622,741500000,306000000,8547000000,1552000000,4015000000,540300000,4532000000,1030000000,1239000000,0,3050000000,0,1.48,0.879,0.347,0.203,723100,36150,4289000000,214500000,17.01,0.851,29.86,0.258,0.02,0.001,0.063,0.003,1.839,-2.6
ESO549-035,0.1892,0.02875,1232000000,424300000,2749000000,154600000,2005000000,225500000,743600000,113000000,95230000,0,187800000,0,0.26,0.097,0.052,0.025,2857000,1831000,283000000,110400000,0.793,1.248,17.58,4.777,0.056,0.05,0.004,0.009,0.536,6
ESO560-004,8.864,9.788,34540000000,15530000000,94920000000,57120000000,60080000000,19140000000,34840000000,38470000000,9460000000,0,9391000000,0,1.57,1.667,0.364,0.395,13060000,2402000,18850000000,1230000000,7.175,1.836,25.72,1.136,0.066,0.018,0.002,0.002,0.247,4.2
ESO603-031,0.2267,0.03202,3025000000,925400000,4160000000,217600000,3269000000,310400000,890800000,125900000,162900000,0,253900000,0,0.308,0.084,0.063,0.025,5967000,3465000,416800000,109500000,0.564,2.396,16.58,12.15,0.157,0.084,0.021,0.03,0.966,1
HS98117,3.918E-05,7.178E-05,85970000,16360000,34680000,1734000,34520000,1726000,154000,282100,230000,0,13480,0,0.067,0.092,0.015,0.02,841.6,2379,243500,306600,16.21,23.87,29.61,7.532,0.191,0.118,0.08,0.14,1.093,10
IC0010,0.2988,0.2242,526600000,263600000,2590000000,1300000000,1415000000,425000000,1174000000,881100000,67530000,0,130900000,0,0.382,0.543,0.079,0.113,105800,71470,198400000,21950000,15.53,16.18,29.39,5.29,0.032,0.023,0.009,0.007,0.925,9.9
IC0335,0.004127,0.002801,17130000000,3433000000,7859000000,392900000,7843000000,392100000,16220000,11010000,61270000,0,2038000,0,0.083,0.058,0.017,0.01,190400,354400,63310000,36590000,13.86,21.4,28.82,7.684,0.196,0.112,0.044,0.102,0.166,-2.1
IC0342,4.033,0.2567,20190000000,4144000000,43420000000,2171000000,27570000000,1517000000,15850000000,1009000000,7577000000,0,10500000000,0,1.182,0.059,0.384,0.057,22170000,1816000,18080000000,904000000,3.574,0.437,22.8,0.481,0.108,0.017,0.006,0.002,1.616,6
IC0610,0.2276,0.184,14310000000,3581000000,13110000000,655600000,12220000000,666700000,894500000,723300000,4754000000,0,814300000,0,3.953,0.796,0.989,0.126,6678000,998800,5568000000,454900000,4.146,1.096,23.4,1.068,0.065,0.014,0.002,0.002,0.346,3.7
IC0691,0.8703,0.05163,2226000000,621300000,8434000000,421700000,5014000000,250700000,3421000000,202900000,2508000000,0,3022000000,0,2.612,0.131,0.878,0.071,1127000,120200,5531000000,276500000,17.76,3.496,30.08,1.023,0.06,0.003,0.032,0.005,0.972,-2
IC0755,0.2329,0.01972,859300000,245100000,2596000000,129800000,1681000000,84050000,915500000,77490000,212100000,0,454700000,0,0.648,0.09,0.133,0.04,698800,197700,666800000,85080000,4.957,2.063,24.13,1.734,0.031,0.018,0.007,0.005,0.45,3.9
IC0781,0.0005531,0.0002458,1408000000,76820000,1117000000,55850000,1115000000,55740000,2174000,965900,15270000,0,415000,0,0.116,0.092,0.027,0.019,142800,229900,15680000,11160000,10.02,19.97,27.25,9.376,0.199,0.116,0.078,0.136,0.873,-2.7
IC0782,0.01184,0.01046,17150000000,2609000000,9100000000,455000000,9054000000,452700000,46540000,41090000,120300000,0,8082000,0,0.13,0.13,0.027,0.026,233700,531200,128400000,121700000,17.87,24.65,30.11,7.174,0.205,0.118,0.1,0.154,0.439,0.4
IC0783,0.001465,0.0008631,2397000000,148100000,1900000000,94980000,1894000000,94700000,5757000,3392000,41400000,0,1617000,0,0.189,0.107,0.043,0.02,853900,714600,43020000,19590000,2.502,9.92,21.44,14.68,0.209,0.102,0.017,0.059,1.441,-0.2
IC0794,0.003565,0.00235,6527000000,1058000000,3634000000,181700000,3620000000,181000000,14010000,9235000,20500000,0,1188000,0,0.056,0.072,0.012,0.014,112900,277300,21690000,26920000,14.46,22.88,29.03,7.933,0.151,0.117,0.066,0.128,0.495,-4.2
IC0797,0.3986,0.04634,2482000000,273000000,6666000000,333300000,5100000000,255000000,1567000000,182100000,800700000,0,1125000000,0,1.122,0.101,0.198,0.038,2738000,422700,1926000000,96280000,3.377,0.414,22.58,0.478,0.099,0.007,0.001,0.001,0.574,6.1
IC0800,0.09357,0.009957,1320000000,256700000,2022000000,101100000,1654000000,82700000,367700000,39130000,164400000,0,223700000,0,0.804,0.077,0.138,0.036,513100,106500,388100000,24650000,3.461,0.764,22.68,0.865,0.108,0.016,0.005,0.003,1.057,5.3
IC0902,0.2851,0.1281,6871000000,1833000000,9605000000,480300000,8485000000,497900000,1121000000,503400000,2441000000,0,956000000,0,2.073,0.329,0.528,0.096,10300000,2058000,3397000000,308200000,1.508,0.454,19.64,1.022,0.093,0.022,0.008,0.005,1.283,3.1
IC0976,0.002606,0.001217,6424000000,321200000,5129000000,256500000,5119000000,256000000,10240000,4782000,17160000,0,601200,0,0.029,0.038,0.006,0.008,38200,120300,17760000,22340000,17.44,24.49,29.98,7.272,0.189,0.119,0.086,0.145,1.241,-1.4
IC1613,0.005332,0.0005814,64920000,21150000,85280000,4264000,64320000,3216000,20960000,2285000,432000,0,1018000,0,0.044,0.008,0.008,0.003,54040,9404,1450000,235500,0.108,0.399,12.46,7.947,0.307,0.081,0.002,0.004,9.052,9.9
IC2085,0.01322,0.01188,1936000000,415900000,1766000000,88280000,1714000000,95050000,51960000,46670000,330000000,0,41690000,0,1.558,0.365,0.379,0.048,1250000,264500,371700000,19740000,1.477,0.389,19.58,0.89,0.101,0.018,0.001,0.001,0.339,-1.2
IC2163,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.2
IC2233,0.2094,0.01657,1355000000,167400000,3443000000,172200000,2620000000,131000000,823000000,65130000,113100000,0,203900000,0,0.252,0.03,0.048,0.015,1006000,360900,316900000,29380000,1.712,0.664,20.08,1.345,0.022,0.009,0.005,0.003,0.734,6.5
IC2461,0.8344,0.5024,29970000000,7548000000,35460000000,1773000000,32180000000,1810000000,3279000000,1974000000,13880000000,0,2995000000,0,3.663,0.833,1.052,0.14,22880000,2652000,16880000000,1144000000,3.374,0.521,22.58,0.603,0.084,0.02,0.005,0.004,0.671,3.3
IC2531,0.5391,0.4071,61540000000,12570000000,59440000000,2972000000,57320000000,3416000000,2119000000,1600000000,11250000000,0,1702000000,0,1.39,0.334,0.377,0.045,58010000,8570000,12950000000,666900000,1.07,0.188,18.51,0.561,0.102,0.015,0.001,0.001,0.238,5
IC2574,0.1202,0.008273,529400000,148500000,1350000000,67490000,877200000,60420000,472600000,32510000,19420000,0,47990000,0,0.1,0.018,0.022,0.008,1168000,534600,67400000,10640000,0.311,0.673,14.96,5.596,0.113,0.062,0.01,0.011,3.516,8.9
IC2828,0.07003,0.007933,211600000,65200000,795800000,39790000,520600000,26030000,275200000,31180000,71120000,0,141400000,0,0.675,0.114,0.145,0.045,219400,99230,212500000,37320000,5.19,2.836,24.32,2.295,0.032,0.019,0.013,0.008,0.518,10
IC3019,0.0028,0.001843,2089000000,371700000,1642000000,82100000,1631000000,81550000,11000000,7245000,7732000,0,684000,0,0.039,0.043,0.008,0.009,23970,65050,8416000,9032000,15.88,23.26,29.5,7.462,0.202,0.118,0.067,0.129,1.178,-5
IC3021,0.1555,0.03508,3829000000,1242000000,4589000000,229400000,3978000000,204800000,611100000,137900000,72240000,0,81180000,0,0.123,0.107,0.025,0.024,356600,818900,153400000,138700000,16.45,23.73,29.68,7.396,0.213,0.117,0.092,0.149,1.197,8.6
IC3023,0.006103,0.000569,20780000,7943000,73790000,3689000,49800000,2490000,23990000,2236000,1082000,0,2507000,0,0.099,0.077,0.021,0.018,16080,32000,3589000,2801000,14.34,22.86,28.99,7.979,0.157,0.114,0.084,0.141,0.584,9.7
IC3033,0.03649,0.006537,281900000,88310000,662100000,33100000,518700000,25930000,143400000,25690000,11360000,0,18680000,0,0.121,0.083,0.024,0.019,414000,427700,30040000,21170000,4.61,13.41,23.83,11.97,0.13,0.104,0.025,0.074,0.435,7.8
IC3044,0.0415,0.01063,617000000,92220000,1422000000,71110000,1259000000,62960000,163100000,41790000,21070000,0,20320000,0,0.102,0.077,0.02,0.016,472000,540400,41390000,32080000,5.238,14.17,24.36,11.38,0.1,0.097,0.027,0.078,0.671,6.1
IC3059,0.04363,0.01407,702000000,114600000,1614000000,80710000,1443000000,72140000,171500000,55290000,81830000,0,60820000,0,0.344,0.131,0.071,0.028,2079000,1338000,142700000,56070000,0.889,3.836,17.93,13.37,0.122,0.086,0.028,0.046,0.4,9.7
IC3061,0.6589,0.1009,10670000000,2337000000,13630000000,681700000,11040000000,552200000,2589000000,396700000,2548000000,0,2071000000,0,1.681,0.241,0.386,0.072,16900000,3306000,4620000000,502100000,1.259,0.394,19.04,1.028,0.115,0.026,0.005,0.005,0.258,5.2
IC3065,0.0007294,0.0004002,1647000000,82340000,1312000000,65610000,1309000000,65470000,2867000,1573000,13620000,0,451500,0,0.087,0.083,0.02,0.017,38820,85440,14070000,11940000,15.55,23.27,29.4,7.594,0.224,0.116,0.086,0.144,0.785,-2.2
IC3077,0.000407,0.0001835,506400000,101000000,365900000,18300000,364300000,18220000,1600000,721100,3001000,0,178900,0,0.073,0.083,0.016,0.017,9441,21610,3180000,3482000,15.01,22.95,29.22,7.713,0.202,0.118,0.077,0.137,0.74,6
IC3096,0.002549,0.001812,363000000,79210000,445800000,22290000,435800000,21790000,10020000,7123000,35190000,0,5513000,0,0.577,0.243,0.128,0.048,208700,187200,40710000,15650000,2.426,5.552,21.33,8.428,0.126,0.088,0.008,0.028,0.535,0.7
IC3099,0.1738,0.03713,3488000000,845100000,3966000000,233900000,3283000000,164200000,683200000,145900000,372300000,0,385000000,0,0.784,0.242,0.169,0.065,2877000,1830000,757300000,258100000,1.979,2.014,20.59,3.619,0.057,0.047,0.007,0.01,0.41,6.2
IC3100,0.0005444,0.0001476,56770000,14350000,37520000,1876000,35380000,1769000,2140000,580000,1893000,0,875900,0,0.492,0.194,0.101,0.043,60530,34210,2768000,1027000,0.504,2.614,16.26,14.55,0.074,0.065,0.007,0.018,1.557,-2
IC3102,0.02088,0.01581,32740000000,3947000000,18820000000,941200000,18740000000,937100000,82050000,62120000,1077000000,0,43950000,0,0.554,0.188,0.123,0.015,5864000,1483000,1121000000,120700000,0.879,0.267,17.9,0.938,0.066,0.042,0.01,0.009,0.541,-0.7
IC3104,0.01076,0.01722,202100000,92550000,219500000,109700000,177200000,45650000,42300000,67670000,2128000,0,767000,0,0.121,0.144,0.027,0.031,7299,27540,2895000,2382000,22.29,26.04,31.28,6.311,0.153,0.111,0.04,0.1,0.226,9.9
IC3105,0.08524,0.008299,146000000,36740000,798900000,39940000,463800000,23190000,335000000,32620000,22020000,0,65930000,0,0.199,0.081,0.041,0.021,195900,218300,87960000,36960000,6.154,9.151,25.05,6.433,0.038,0.039,0.008,0.023,0.719,9.8
IC3115,0.2227,0.02284,1768000000,246100000,5214000000,260700000,4339000000,217000000,875200000,89770000,371800000,0,394300000,0,0.504,0.069,0.1,0.026,11540000,3867000,766000000,80720000,0.256,0.128,14.47,1.245,0.115,0.047,0.028,0.018,0.881,5.5
IC3131,0.0005117,0.000243,1265000000,63250000,1009000000,50430000,1007000000,50330000,2011000,955100,10370000,0,304400,0,0.087,0.084,0.02,0.018,34230,73800,10680000,9451000,14.69,22.78,29.11,7.796,0.176,0.117,0.095,0.15,1.1,-3
IC3167,0.0005077,0.0002793,778800000,41820000,616400000,30820000,614400000,30720000,1995000,1098000,3750000,0,182100,0,0.054,0.061,0.012,0.013,22050,53350,3932000,4270000,13.51,22.29,28.69,8.175,0.203,0.118,0.077,0.137,0.79,-2
IC3229,0.07359,0.01125,822000000,221200000,1476000000,73810000,1187000000,59350000,289200000,44210000,127800000,0,161200000,0,0.738,0.143,0.138,0.046,1051000,624500,289100000,59090000,1.705,1.033,20.07,2.101,0.048,0.034,0.005,0.008,0.632,4.2
IC3258,0.1303,0.007474,370400000,89140000,1582000000,79120000,1070000000,53510000,512200000,29370000,112400000,0,224700000,0,0.525,0.058,0.108,0.029,596400,167700,337100000,28150000,2.517,0.903,21.46,1.33,0.02,0.003,0.019,0.006,0.722,9.6
IC3259,0.05685,0.01438,1618000000,321400000,1999000000,99960000,1776000000,88780000,223400000,56510000,231300000,0,152400000,0,1.003,0.16,0.206,0.044,2067000,424500,383700000,28910000,0.899,0.218,17.97,0.754,0.085,0.03,0.003,0.003,0.442,8
IC3267,0.2552,0.04797,5993000000,1030000000,9965000000,498200000,8962000000,448100000,1003000000,188500000,1144000000,0,675800000,0,0.973,0.117,0.186,0.034,5749000,1383000,1819000000,157700000,1.553,0.469,19.75,1.03,0.11,0.03,0.002,0.003,0.51,5.9
IC3268,0.9025,0.06385,3279000000,422800000,12350000000,617500000,8803000000,440200000,3547000000,250900000,1086000000,0,1992000000,0,0.751,0.086,0.13,0.026,3485000,765300,3078000000,268300000,4.518,1.282,23.74,1.164,0.053,0.018,0.002,0.002,0.695,10
IC3305,0.003047,0.002078,5819000000,980500000,4239000000,211900000,4227000000,211300000,11980000,8168000,43000000,0,1727000,0,0.09,0.094,0.02,0.019,160900,408000,44730000,43550000,15.65,23.63,29.43,7.674,0.218,0.117,0.092,0.149,1.135,-5
IC3311,0.04161,0.01069,1442000000,279000000,1733000000,86630000,1569000000,78450000,163500000,42030000,190700000,0,104300000,0,0.912,0.17,0.193,0.044,2832000,1144000,295000000,46150000,0.578,0.262,16.65,1.302,0.061,0.035,0.003,0.004,0.485,7.5
IC3313,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-4
IC3322,0.1581,0.04787,2391000000,594600000,3988000000,199400000,3367000000,180400000,621500000,188100000,872400000,0,530400000,0,1.973,0.182,0.43,0.088,3395000,310700,1403000000,70140000,1.979,0.132,20.59,0.237,0.076,0.02,0.001,0.001,0.564,6.3
IC3331,0.0008693,0.0003103,317500000,81020000,377400000,18870000,374000000,18700000,3416000,1220000,2101000,0,229900,0,0.038,0.048,0.009,0.011,6888,19760,2331000,2897000,16.07,23.72,29.56,7.538,0.191,0.119,0.081,0.141,1.295,-3.6
IC3355,6.501E-05,6.671E-06,445300,151400,844200,42210,588700,29440,255500,26220,9793,0,23310,0,0.086,0.053,0.017,0.012,189.5,271,33110,20820,8.185,16.97,26.31,9.421,0.149,0.109,0.052,0.109,0.79,9.7
IC3358,0.001016,0.0003779,905500000,168800000,823300000,41170000,819300000,40970000,3994000,1485000,23410000,0,1350000,0,0.238,0.266,0.049,0.051,31100,54710,24760000,27250000,16.72,22.32,29.77,6.864,0.105,0.106,0.056,0.119,1.688,-5
IC3371,0.2027,0.02166,2324000000,825800000,2824000000,141200000,2027000000,101400000,796700000,85140000,107600000,0,222200000,0,0.306,0.11,0.064,0.031,940500,1397000,329800000,124300000,11.14,18.33,27.75,7.886,0.145,0.091,0.026,0.068,0.736,6
IC3381,0.0006633,0.0004635,2759000000,292600000,1723000000,86150000,1720000000,86020000,2607000,1822000,7478000,0,190200,0,0.042,0.044,0.009,0.009,38810,94620,7668000,7521000,14.01,22.56,28.87,8.029,0.195,0.117,0.08,0.14,2.024,-4.1
IC3391,0.3185,0.03105,2944000000,529900000,5872000000,293600000,4620000000,231000000,1252000000,122000000,492600000,0,756300000,0,0.803,0.073,0.135,0.035,2860000,429800,1249000000,80200000,2.05,0.433,20.72,0.756,0.103,0.023,0.003,0.003,0.521,5.9
